12/9/2018 13:33:39	This hackathon has been craY	0: Center of Room	Feelin Silly	0
12/9/2018 13:36:44	-1	0: Center of Room	unknown	1
12/9/2018 13:37:10	Time to get this workin!	1: Red Corner	EVB	0
12/9/2018 13:39:14	I'm hungry :/	3: Blue Corner	Suzy Chef	0
12/9/2018 13:39:56	-1	4: Green Corner	Loving the Vibes	3
12/9/2018 13:45:54	Good luck today!	0: Center of Room	Iris	6
12/9/2018 13:47:12	-1	2: Yellow Corner	ASH	4
12/9/2018 13:48:20	-1	3: Blue Corner	Myndful Team	4
12/9/2018 13:54:07	It smells funny over here...	4: Green Corner	Grossed Out	0
12/9/2018 13:56:51	Having fun at the Microsoft Reactor!	2: Yellow Corner	Miss Frizzles	1
12/9/2018 13:58:04	the snacks here are off the chain	3: Blue Corner	hungry	0
12/9/2018 14:06:56	Another day in Trump's America :'(	3: Blue Corner	no name	2
12/9/2018 14:09:55	I wish there weren't so many men here	0: Center of Room	Ms Lady	0
12/9/2018 14:10:48	-1	1: Red Corner	<3	3
12/9/2018 14:11:01	-1	2: Yellow Corner	B	1
12/9/2018 14:12:12	Hope our project works #hopeful	3: Blue Corner	Haxxor	0
12/9/2018 14:12:36	We got this #hopeful	0: Center of Room	no name	0
12/9/2018 14:13:08	This is great #hopeful	0: Center of Room	Feeling good	0
12/9/2018 14:14:26	Whens lunch? #hungry	4: Green Corner	Stomach	0
12/9/2018 14:22:10	why are there so many guys here....	1: Red Corner	Anonymous	0
12/9/2018 14:28:51	Hello. Our team has been very thoughtful today. I am thinking about the way technology can be used to connect us to what is human and beautiful inside of us or it can be used in a way that alienates us from ourselves and our surroundings. I wish to set an intention that we use it to connect us to ourselves, each other, the land and animals and the wise within us. 	3: Blue Corner	no name	0
12/9/2018 14:44:05	I am sos sosos #tired	0: Center of Room	done	0
12/9/2018 14:44:12	-1	3: Blue Corner	no name	2
12/9/2018 15:29:56	LUNCH IS HERE #hungry	4: Green Corner	no name	0
12/9/2018 15:30:19	Final 2hrs #reactor	3: Blue Corner	Haxxor	0
12/9/2018 15:30:39	Good luck everyone! #reactor	0: Center of Room	no name	0
12/9/2018 15:31:02	First tech event where the women's restroom is actually crowded #finally	2: Yellow Corner	no name	0
12/9/2018 15:31:06	-1	0: Center of Room	no name	5
12/9/2018 15:31:11	-1	0: Center of Room	no name	3
12/9/2018 15:38:50	-1	3: Blue Corner	Concerned	7
12/9/2018 15:39:01	-1	3: Blue Corner	TRUE	2
12/9/2018 15:39:18	-1	4: Green Corner	hungry	8
12/9/2018 15:39:59	I love this idea of a safe space!	2: Yellow Corner	Hacker	0
12/9/2018 15:40:21	-1	2: Yellow Corner	yum	5
12/9/2018 15:40:39	-1	1: Red Corner	Annoyed	4
12/9/2018 15:48:11	I wish there was some sort of way to have an open conversation about some of our more difficult issues. 	2: Yellow Corner	Concerned Female	0
12/9/2018 15:48:43	The me too movement was really difficult to watch.	3: Blue Corner	unknown	0
